%r/a	(1)r,m	(2)ne,10^20/m^3	(3)ni,10^20/m^3	(4)Te,keV	(5)Ti,keV	(6)Er,kV/m	(7)Zeff
0.00	0	0.99993468	0.99993468	6.6277334	3.9155585	0	1
0.02	0.0102184	0.99986952	0.99986952	6.6264565	3.9145798	-0.050961735	1
0.04	0.0204368	0.9994786	0.9994786	6.6187917	3.9087053	1.0771179	1
0.06	0.0306552	0.99882876	0.99882876	6.5958852	3.9034047	2.2725318	1
0.08	0.0408736	0.99792253	0.99792253	6.5519406	3.9023602	3.5074153	1
0.10	0.051092	0.99676339	0.99676339	6.483566	3.9071207	4.7325606	1
0.12	0.0613104	0.99535573	0.99535573	6.3893237	3.917878	5.9049414	1
0.14	0.0715288	0.99370475	0.99370475	6.270093	3.9336565	6.9785928	1
0.16	0.0817472	0.99181633	0.99181633	6.1290097	3.9525089	7.9003761	1
0.18	0.0919656	0.98969689	0.98969689	5.9713536	3.9714798	8.6101158	1
0.20	0.102184	0.98735313	0.98735313	5.8033887	3.9866198	9.0374373	1
0.22	0.1124024	0.98479182	0.98479182	5.632405	3.9934743	9.1011278	1
0.24	0.1226208	0.98201943	0.98201943	5.4661206	3.988106	8.7071165	1
0.26	0.1328392	0.97904179	0.97904179	5.313426	3.9694528	7.7490598	1
0.28	0.1430576	0.9758636	0.9758636	5.1750837	3.9447458	6.1979738	1
0.30	0.153276	0.97248791	0.97248791	5.0536499	3.9242005	4.145095	1
0.32	0.1634944	0.96891555	0.96891555	4.9477261	3.9172069	1.8152455	1
0.34	0.1737128	0.96514441	0.96514441	4.8497475	3.9198653	-0.12139707	1
0.36	0.1839312	0.96116865	0.96116865	4.7549038	3.9202938	-0.78850572	1
0.38	0.1941496	0.95697789	0.95697789	4.661552	3.9152135	-1.4061378	1
0.40	0.204368	0.95255616	0.95255616	4.5693847	3.9046028	-2.0568257	1
0.42	0.2145864	0.94788091	0.94788091	4.4782398	3.8883812	-2.7520087	1
0.44	0.2248048	0.94292179	0.94292179	4.3887071	3.8663827	-3.4887364	1
0.46	0.2350232	0.93763937	0.93763937	4.3008569	3.8388208	-4.2676857	1
0.48	0.2452416	0.93198376	0.93198376	4.2142963	3.8060159	-5.0825485	1
0.50	0.25546	0.92589314	0.92589314	4.1284512	3.7683677	-5.9323694	1
0.52	0.2656784	0.91929208	0.91929208	4.0421768	3.7260577	-6.8232818	1
0.54	0.2758968	0.91208992	0.91208992	3.9542373	3.6789928	-7.7549023	1
0.56	0.2861152	0.90417891	0.90417891	3.8638227	3.6267123	-8.7267335	1
0.58	0.2963336	0.89543238	0.89543238	3.7701215	3.5681685	-9.737445	1
0.60	0.306552	0.88570279	0.88570279	3.6724866	3.5022424	-10.782228	1
0.62	0.3167704	0.87481977	0.87481977	3.5705605	3.42834	-11.860947	1
0.64	0.3269888	0.86258823	0.86258823	3.4635675	3.3459027	-12.977709	1
0.66	0.3372072	0.84878645	0.84878645	3.350674	3.2545593	-14.136737	1
0.68	0.3474256	0.83316439	0.83316439	3.2309911	3.1541271	-15.342435	1
0.70	0.357644	0.81544232	0.81544232	3.1035816	3.0443908	-16.594288	1
0.72	0.3678624	0.79530971	0.79530971	2.967476	2.925149	-17.886802	1
0.74	0.3780808	0.77242494	0.77242494	2.8216746	2.7960932	-19.209074	1
0.76	0.3882992	0.74641584	0.74641584	2.6651991	2.6567999	-20.545439	1
0.78	0.3985176	0.71688161	0.71688161	2.4983937	2.5060822	-21.884429	1
0.80	0.408736	0.68339679	0.68339679	2.3208008	2.3431454	-23.226211	1
0.82	0.4189544	0.64551823	0.64551823	2.1325582	2.1673296	-24.571313	1
0.84	0.4291728	0.60279647	0.60279647	1.9347563	1.9784569	-25.916776	1
0.86	0.4393912	0.5547943	0.5547943	1.7298708	1.777658	-27.252668	1
0.88	0.4496096	0.50111669	0.50111669	1.5217298	1.5676626	-28.563987	1
0.90	0.459828	0.44146055	0.44146055	1.3149884	1.3529346	-29.833605	1
0.92	0.4700464	0.37570158	0.37570158	1.1142642	1.1389621	-31.056218	1
0.94	0.4802648	0.30405936	0.30405936	0.92306521	0.93142142	-32.259848	1
0.96	0.4904832	0.22745949	0.22745949	0.74282303	0.73584417	-33.501987	1
0.98	0.5007016	0.14857411	0.14857411	0.57168123	0.55784596	-34.826583	1
1.00	0.51092	0.079127364	0.079127364	0.4	0.4	-36.270646	1
